name,xml_name,cas,smiles
Lenacil,Lenacil,2164-08-1,C1CCC(CC1)N2C(=O)C3=C(CCC3)NC2=O
Lime sulphur,Lime sulphur,,[S-]SSS[S-].[Ca+2]
Limestone,Limestone  (++),1317-65-3,
Lindane (Gamma-isomer of hexachlorocyclohexane (HCH)),Lindane (Gamma-isomer of hexachlorocyclohexane (HCH)) (F),,
Linuron,Linuron,330-55-2,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC
Lufenuron,Lufenuron (any ratio of constituent isomers) (F),103055-07-8,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2Cl)OC(C(C(F)(F)F)F)(F)F)Cl)F
MCPA and MCPB,"MCPA and MCPB (MCPA, MCPB including their salts, esters and conjugates expressed as MCPA) (R)(F)",,
Malathion,Malathion (sum of malathion and malaoxon expressed as malathion),121-75-5,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC
Maleic hydrazide,Maleic hydrazide,123-33-1,C1=CC(=O)NNC1=O
Maltodextrin,Maltodextrin,9050-36-6,
Mandestrobin,Mandestrobin,173662-97-0,CC1=CC(=C(C=C1)C)OCC2=CC=CC=C2C(C(=O)NC)OC
Mandipropamid,Mandipropamid (any ratio of constituent isomers),374726-62-2,COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)OCC#C)OCC#C
Mecarbam,Mecarbam,2595-54-2,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
Mecoprop,Mecoprop (sum of mecoprop-p and mecoprop expressed as mecoprop),93-65-2,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O
Mefentrifluconazole,Mefentrifluconazole,1417782-03-6,CC(CN1C=NC=N1)(C2=C(C=C(C=C2)OC3=CC=C(C=C3)Cl)C(F)(F)F)O
Mepanipyrim,Mepanipyrim,110235-47-7,CC#CC1=NC(=NC(=C1)C)NC2=CC=CC=C2
Mepiquat,"Mepiquat (sum of mepiquat and its salts, expressed as mepiquat chloride)",15302-91-7,C[N+]1(CCCCC1)C
Mepronil,Mepronil,55814-41-0,CC1=CC=CC=C1C(=O)NC2=CC(=CC=C2)OC(C)C
Meptyldinocap,"Meptyldinocap (sum of 2,4 DNOPC and 2,4 DNOP expressed as meptyldinocap)",6119-92-2,CCCCCCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])OC(=O)C=CC
Mercury compounds,Mercury compounds (sum of mercury compounds expressed as mercury),,
Mesosulfuron-methyl,Mesosulfuron-methyl,,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC(=C2)CNS(=O)(=O)C)C(=O)OC)OC
Mesotrione,Mesotrione,104206-8,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-]
Metaflumizone,Metaflumizone (sum of E- and Z- isomers),139968-49-3,C1=CC(=CC(=C1)C(F)(F)F)/C(=N/NC(=O)NC2=CC=C(C=C2)OC(F)(F)F)/CC3=CC=C(C=C3)C#N
Metalaxyl and metalaxyl-M (metalaxyl including other mixtures of constituent isomers including metalaxyl-M (sum of isomers)),Metalaxyl and metalaxyl-M (metalaxyl including other mixtures of constituent isomers including metalaxyl-M (sum of isomers)) (R),,
Metaldehyde,Metaldehyde,see remark,CC1OC(OC(OC(O1)C)C)C
Metam,Metam (see methylisothiocyanate),,CNC(=S)S
Metamitron,Metamitron,41394-05-2,CC1=NN=C(C(=O)N1N)C2=CC=CC=C2
Metarhizium brunneum strain Ma 43,Metarhizium brunneum strain Ma 43,,
Metazachlor,"Metazachlor (Sum of metabolites 479M04, 479M08 and 479M16, expressed as metazachlor) (R)",67129-08-2,CC1=C(C(=CC=C1)C)N(CN2C=CC=N2)C(=O)CCl
Metconazole,Metconazole (sum of isomers) (F),125116-23-6,CC1(CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl)C
Methabenzthiazuron,Methabenzthiazuron,18691-97-9,CNC(=O)N(C)C1=NC2=CC=CC=C2S1
Methacrifos,Methacrifos,30864-28-9,C/C(=C\OP(=S)(OC)OC)/C(=O)OC
Methamidophos,Methamidophos,10265-92-6,COP(=O)(N)SC
Methidathion,Methidathion,950-37-8,COC1=NN(C(=O)S1)CSP(=S)(OC)OC
Methiocarb,"Methiocarb (sum of methiocarb and methiocarb sulfoxide and sulfone, expressed as methiocarb)",,CC1=CC(=CC(=C1SC)C)OC(=O)NC
Methomyl,Methomyl,16752-77-5,CC(=NOC(=O)NC)SC
Methoprene,Methoprene,40596-69-8,CC(C)OC(=O)/C=C(\C)/C=C/CC(C)CCCC(C)(C)OC
Methoxychlor,Methoxychlor  (F),72-43-5,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl
Methoxyfenozide,Methoxyfenozide  (F),161050-58-4,CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C
Methyl decanoate (CAS 110-42-9),Methyl decanoate (CAS 110-42-9),110-42-9,CCCCCCCCCC(=O)OC
Methyl nonyl ketone,Methyl nonyl ketone (F),112-12-9,CCCCCCCCCC(=O)C
Methyl octanoate (CAS 111-11-5),Methyl octanoate (CAS 111-11-5),111-11-5,CCCCCCCC(=O)OC
Methylisothiocyanate,Methylisothiocyanate (resulting from the use of dazomet or metam),,CN=C=S
Metolachlor and S-metolachlor (metolachlor including other mixtures of constituent isomers including S-metolachlor (sum of isomers)),Metolachlor and S-metolachlor (metolachlor including other mixtures of constituent isomers including S-metolachlor (sum of isomers)),,
Metosulam,Metosulam,139528-85-1,CC1=C(C(=C(C=C1)Cl)NS(=O)(=O)C2=NN3C(=CC(=NC3=N2)OC)OC)Cl
Metrafenone,Metrafenone  (F),220899-03-6,CC1=CC(=C(C(=C1C(=O)C2=C(C=CC(=C2C)Br)OC)OC)OC)OC
Metribuzin,Metribuzin,21087-64-9,CC(C)(C)C1=NN=C(N(C1=O)N)SC
Metschnikowia fructicola strain NRRL Y-27328,Metschnikowia fructicola strain NRRL Y-27328,No CAS allocated,
Metsulfuron-methyl,Metsulfuron-methyl,74223-64-6,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
Mevinphos,Mevinphos (sum of E- and Z-isomers),7786-34-7,CC(=CC(=O)OC)OP(=O)(OC)OC
Milbemectin,"Milbemectin (sum of milbemycin A4 and milbemycin A3, expressed as milbemectin)",See note,C[C@H]1CC[C@]2(C[C@@H]3C[C@H](O2)C/C=C(/C[C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)\C)O[C@@H]1C
Mild Pepino Mosaic Virus isolate VC1,Mild Pepino Mosaic Virus isolate VC1,,
Mild Pepino Mosaic Virus isolate VX1,Mild Pepino Mosaic Virus isolate VX1,,
Molinate,Molinate,2212-67-1,CCSC(=O)N1CCCCCC1
Monocrotophos,Monocrotophos,6923-22-4,C/C(=C\C(=O)NC)/OP(=O)(OC)OC
Monolinuron,Monolinuron,1746-81-2,CN(C(=O)NC1=CC=C(C=C1)Cl)OC
Monuron,Monuron,150-68-5,CN(C)C(=O)NC1=CC=C(C=C1)Cl
Myclobutanil,Myclobutanil  (sum of  constituent isomers) (R),88671-89-0,CCCCC(CN1C=NC=N1)(C#N)C2=CC=C(C=C2)Cl
Napropamide,Napropamide (sum  of isomers),15299-99-7,CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21
Nicosulfuron,Nicosulfuron,111991-09-4,CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Nicotine,Nicotine,54-11-5,CN1CCC[C@H]1C2=CN=CC=C2
Nitrofen,Nitrofen  (F),1836-75-5,C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)Cl)Cl
Novaluron,Novaluron (sum of constituent isomers) (F),116714-46-6,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)OC(C(OC(F)(F)F)F)(F)F)Cl)F
Omethoate,Omethoate,1113-02-6,CNC(=O)CSP(=O)(OC)OC
Onion oil,Onion oil,No CAS allocated,
Orange oil,Orange oil  (++),No CAS allocated,
Orthosulfamuron,Orthosulfamuron,213464-77-8,CN(C)C(=O)C1=CC=CC=C1NS(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Oryzalin,Oryzalin  (F),19044-88-3,CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-]
Oxadiargyl,Oxadiargyl,39807-15-3,CC(C)(C)C1=NN(C(=O)O1)C2=CC(=C(C=C2Cl)Cl)OCC#C
Oxadiazon,Oxadiazon,19666-30-9,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl
Oxadixyl,Oxadixyl,77732-09-3,CC1=C(C(=CC=C1)C)N(C(=O)COC)N2CCOC2=O
Oxamyl,Oxamyl,23135-22-0,CNC(=O)ON=C(C(=O)N(C)C)SC
Oxasulfuron,Oxasulfuron,144651-06-9,CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC3COC3)C
Oxathiapiprolin,Oxathiapiprolin,1003318-67-9,CC1=CC(=NN1CC(=O)N2CCC(CC2)C3=NC(=CS3)C4=NOC(C4)C5=C(C=CC=C5F)F)C(F)(F)F
Oxycarboxin,Oxycarboxin,5259-88-1,CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2
Oxydemeton-methyl,Oxydemeton-methyl (sum of oxydemeton-methyl and demeton-S-methylsulfone expressed as oxydemeton-methyl),301-12-2,CCS(=O)CCSP(=O)(OC)OC
Oxyfluorfen,Oxyfluorfen (F),42874-03-3,CCOC1=C(C=CC(=C1)OC2=C(C=C(C=C2)C(F)(F)F)Cl)[N+](=O)[O-]
Paclobutrazol,Paclobutrazol (sum of constituent isomers),76738-62-0,CC(C)(C)[C@@H]([C@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O
Paecilomyces fumosoroseus strain Fe 9901,Paecilomyces fumosoroseus strain FE 9901,No CAS allocated,
Paraffin oil,Paraffin oil (CAS 64742-46-7),,
Paraffin oil,Paraffin oil (CAS 64742-54-7),,
Paraffin oil,Paraffin oil (CAS 72623-86-0),,
Paraffin oil,Paraffin oil (CAS 8042-47-5),,
Paraffin oil,Paraffin oil (CAS 97862-82-3),,
Paraquat,Paraquat,4685-14-7,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C
Parathion,Parathion  (F),56-38-2,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]
Parathion-methyl,Parathion-methyl (sum of Parathion-methyl and paraoxon-methyl expressed as Parathion-methyl),298-00-0,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-]
Pasteuria nishizawae Pn1,Pasteuria nishizawae Pn1,No CAS allocated,
Penconazole,Penconazole (sum of constituent isomers) (F),66246-88-6,CCCC(CN1C=NC=N1)C2=C(C=C(C=C2)Cl)Cl
Pencycuron,"Pencycuron (sum of pencycuron and pencycuron-PB-amine, expressed as pencycuron) (R)(F)(A)",66063-05-6,C1CCC(C1)N(CC2=CC=C(C=C2)Cl)C(=O)NC3=CC=CC=C3
Pendimethalin,Pendimethalin  (F),40487-42-1,CCC(CC)NC1=C(C=C(C(=C1[N+](=O)[O-])C)C)[N+](=O)[O-]
Penflufen,Penflufen (sum of isomers) (F),494793-67-8,CC1=NN(C(=C1C(=O)NC2=CC=CC=C2C(C)CC(C)C)F)C
Penoxsulam,Penoxsulam,219714-96-2,COC1=CN=C(N2C1=NC(=N2)NS(=O)(=O)C3=C(C=CC=C3OCC(F)F)C(F)(F)F)OC
Penthiopyrad,Penthiopyrad (F),183675-82-3,CC(C)CC(C)C1=C(C=CS1)NC(=O)C2=CN(N=C2C(F)(F)F)C
"Pepino Mosaic Virus, CH2 strain, mild isolate Abp2","Pepino Mosaic Virus, CH2 strain, mild isolate Abp2",,
"Pepino Mosaic Virus, EU strain, mild isolate Abp1","Pepino Mosaic Virus, EU strain, mild isolate Abp1",,
Pepino mosaic virus strain CH2 isolate 1906,Pepino mosaic virus strain CH2 isolate 1906,No CAS allocated,
Pepper,Pepper  (++),,
Permethrin,Permethrin (sum of isomers) (F),52645-53-1,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
Pethoxamid,Pethoxamid,106700-29-2,CCOCCN(C(=O)CCl)C(=C(C)C)C1=CC=CC=C1
Petroleum oils,Petroleum oils (CAS 92062-35-6),No CAS allocated,
Phenmedipham,Phenmedipham,13684-63-4,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC
Phenothrin (phenothrin including other mixtures of constituent isomers (sum of isomers)),Phenothrin (phenothrin including other mixtures of constituent isomers (sum of isomers)) (F),,
Phenthoate,Phenthoate,2597-03-7,CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC
Phlebiopsis gigantea,Phlebiopsis gigantea,,
Phorate,"Phorate (sum of phorate, its oxygen analogue and their sulfones expressed as phorate)",298-02-2,CCOP(=S)(OCC)SCSCC
Phosalone,Phosalone,2310-17-0,CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O
Phosmet,Phosmet,732-11-6,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O
Phosphamidon,Phosphamidon,13171-21-6,CCN(CC)C(=O)C(=C(C)OP(=O)(OC)OC)Cl
"Phosphane and phosphide salts (sum of phosphane and phosphane generators (relevant phosphide salts), determined and expressed as phosphane)","Phosphane and phosphide salts (sum of phosphane and phosphane generators (relevant phosphide salts), determined and expressed as phosphane)",,
Phosphonic acid and its salts expressed as phosphonic acid,Phosphonic acid and its salts expressed as phosphonic acid (R),,
Phoxim,Phoxim  (F),14816-18-3,CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1
"Picloram, free and conjugated, expressed as picloram","Picloram, free and conjugated, expressed as picloram (R)",,
Picolinafen,Picolinafen,137641-05-5,C1=CC(=CC(=C1)OC2=CC=CC(=N2)C(=O)NC3=CC=C(C=C3)F)C(F)(F)F
Picoxystrobin,Picoxystrobin  (F),117428-22-5,CO/C=C(\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC
Pirimicarb,Pirimicarb  (R),23103-98-2,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C
Pirimiphos-methyl,Pirimiphos-methyl  (F),29232-93-7,CCN(CC)C1=NC(=CC(=N1)OP(=S)(OC)OC)C
Plant oils / Citronella oil,Plant oils / Citronella oil,No CAS allocated,
Plant oils / Citronellol,Plant oils / Citronellol  (++),,
Plant oils / Clove oil Eugenol,Plant oils / Clove oil Eugenol  (++),,
Plant oils / Rapeseed oil,Plant oils / Rapeseed oil  (++),,
Plant oils / Spearmint oil,Plant oils / Spearmint oil  (++),,
Potassium iodide,Potassium Iodide  (++),7681-11-0,[K+].[I-]
Potassium thiocyanate,Potassium Thiocyanate,333-20-0,C(#N)[S-].[K+]
Potassium hydrogen carbonate,Potassium hydrogen carbonate,298-14-6,C(=O)(O)[O-].[K+]
Potassium permanganate,Potassium permanganate,7722-64-7,[O-][Mn](=O)(=O)=O.[K+]
Potassium sorbate,Potassium sorbate,24634-61-5,C/C=C/C=C/C(=O)[O-].[K+]
Potassium tri-iodide,Potassium tri-iodide,No CAS allocated,
"Prochloraz (sum of prochloraz, BTS 44595 (M201-04) and BTS 44596 (M201-03), expressed as prochloraz)","Prochloraz (sum of prochloraz, BTS 44595 (M201-04) and BTS 44596 (M201-03), expressed as prochloraz) (F)",,
Procymidone,Procymidone  (R),32809-16-8,CC12CC1(C(=O)N(C2=O)C3=CC(=CC(=C3)Cl)Cl)C
Profenofos,Profenofos  (F),41198-08-7,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl
Profoxydim,Profoxydim,139001-49-3,CCCC(=NOCC(C)OC1=CC=C(C=C1)Cl)C2=C(CC(CC2=O)C3CCCSC3)O
Prohexadione (prohexadione (acid) and its salts expressed as prohexadione-calcium),Prohexadione (prohexadione (acid) and its salts expressed as prohexadione-calcium),,
"Propachlor: oxalinic derivate of propachlor, expressed as propachlor","Propachlor: oxalinic derivate of propachlor, expressed as propachlor",,
Propamocarb,"Propamocarb (Sum of propamocarb and its salts, expressed as propamocarb) (R)",24579-73-5,CCCOC(=O)NCCCN(C)C
Propanil,Propanil,709-98-8,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl
Propargite,Propargite  (F),2312-35-8,CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C
Propham,Propham,122-42-9,CC(C)OC(=O)NC1=CC=CC=C1
Propiconazole,Propiconazole (sum of isomers) (F),60207-90-1,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl
Propineb,Propineb (expressed as propilendiamine),9016-72-2,CC(CNC(=S)S)NC(=S)S
Propisochlor,Propisochlor,,CCC1=CC=CC(=C1N(COC(C)C)C(=O)CCl)C
Propoxur,Propoxur,114-26-1,CC(C)OC1=CC=CC=C1OC(=O)NC
Propoxycarbazone,"Propoxycarbazone (propoxycarbazone, its salts and 2-hydroxypropoxycarbazone expressed as propoxycarbazone) (A)",145026-81-9,CCCOC1=NN(C(=O)N1C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
Propyzamide,Propyzamide (R)(F),23950-58-5,CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl
Proquinazid,Proquinazid (R)(F),189278-12-4,CCCN1C(=O)C2=C(C=CC(=C2)I)N=C1OCCC
Prosulfocarb,Prosulfocarb,52888-80-9,CCCN(CCC)C(=O)SCC1=CC=CC=C1
Prosulfuron,Prosulfuron,94125-34-5,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F
Prothioconazole: prothioconazole-desthio,Prothioconazole: prothioconazole-desthio (sum of isomers) (F),,
Pseudomonas chlororaphis strain MA342,Pseudomonas chlororaphis strain MA342,No CAS allocated,
Pseudomonas sp. Strain DSMZ 13134,Pseudomonas sp. Strain DSMZ 13134,No CAS allocated,
Purpureocillium lilacinum PL11,Purpureocillium lilacinum PL11,,
Purpureocillium lilacinum strain 251 (former Paecilomyces lilacinus strain 251),Purpureocillium lilacinum strain 251 (former Paecilomyces lilacinus strain 251),No CAS allocated,
Pymetrozine,Pymetrozine  (R),123312-89-0,CC1=NNC(=O)N(C1)/N=C/C2=CN=CC=C2
Pyraclostrobin,Pyraclostrobin  (F),175013-18-0,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC
Pyraflufen-ethyl,"Pyraflufen-ethyl (Sum of pyraflufen-ethyl and pyraflufen, expressed as pyraflufen-ethyl)",129630-19-9,CCOC(=O)COC1=C(C=C(C(=C1)C2=NN(C(=C2Cl)OC(F)F)C)F)Cl
Pyrasulfotole,Pyrasulfotole,365400-11-9,CC1=C(C(=O)N(N1)C)C(=O)C2=C(C=C(C=C2)C(F)(F)F)S(=O)(=O)C
Pyrazophos,Pyrazophos  (F),13457-18-6,CCOC(=O)C1=CN2C(=CC(=N2)OP(=S)(OCC)OCC)N=C1C
Pyrethrins,Pyrethrins,8003-34-7,CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)C=C(C)C)C/C=C\C=C.CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)/C=C(\C)/C(=O)OC)C/C=C\C=C
Pyridaben,Pyridaben  (F),96489-71-3,CC(C)(C)C1=CC=C(C=C1)CSC2=C(C(=O)N(N=C2)C(C)(C)C)Cl
Pyridalyl,Pyridalyl,179101-81-6,C1=CC(=NC=C1C(F)(F)F)OCCCOC2=C(C=C(C=C2Cl)OCC=C(Cl)Cl)Cl
"Pyridate (sum of pyridate, its hydrolysis product CL 9673 (6-chloro-4-hydroxy-3-phenylpyridazin) and hydrolysable conjugates of CL 9673 expressed as pyridate)","Pyridate (sum of pyridate, its hydrolysis product CL 9673 (6-chloro-4-hydroxy-3-phenylpyridazin) and hydrolysable conjugates of CL 9673 expressed as pyridate)",,
Pyrimethanil,Pyrimethanil (R),53112-28-0,CC1=CC(=NC(=N1)NC2=CC=CC=C2)C
Pyriofenone,Pyriofenone,688046-61-9,CC1=CC(=C(C(=C1C(=O)C2=C(C(=CN=C2OC)Cl)C)OC)OC)OC
Pyriproxyfen,Pyriproxyfen  (F),95737-68-1,CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3
Pyroxsulam,Pyroxsulam,422556-08-9,COC1=CC(=NC2=NC(=NN12)NS(=O)(=O)C3=C(C=CN=C3OC)C(F)(F)F)OC
Pythium oligandrum strain M1,Pythium oligandrum strain M1,No CAS allocated,
Quartz sand,Quartz sand,No CAS allocated,O=[Si]=O
Quinalphos,Quinalphos  (F),13593-03-8,CCOP(=S)(OCC)OC1=NC2=CC=CC=C2N=C1
Quinclorac,Quinclorac,84087-01-4,C1=CC(=C(C2=NC=C(C=C21)Cl)C(=O)O)Cl
Quinmerac,Quinmerac (sum of quinmerac and its metabolites BH 518-2 and BH 518-4 expressed as quinmerac) (R),90717-03-6,CC1=CC2=C(C(=C(C=C2)Cl)C(=O)O)N=C1
Quinoclamine,Quinoclamine,2797-51-5,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)N
Quinoxyfen,Quinoxyfen  (F),124495-18-7,C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F
Quintozene,Quintozene (sum of quintozene and pentachloro-aniline expressed as quintozene) (F),82-68-8,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-]
"Quizalofop (sum of quizalofop, its salts, its esters (including propaquizafop) and its conjugates, expressed as quizalofop (any ratio of constituent isomers))","Quizalofop (sum of quizalofop, its salts, its esters (including propaquizafop) and its conjugates, expressed as quizalofop (any ratio of constituent isomers))",,
Repellants: Blood meal,Repellants: Blood meal,,
Repellants: Fish oil,Repellants: Fish oil,,
Repellants: Sheep fat,Repellants: Sheep fat,,
Repellants: Tall oil,Repellants: Tall oil,,
Rescalure,Rescalure,67601-06-3,C[C@@H](CC[C@@H](CCC=C)C(=C)C)CCOC(=O)C
Resmethrin (resmethrin including other mixtures of consituent isomers (sum of isomers)),Resmethrin (resmethrin including other mixtures of consituent isomers (sum of isomers)) (F),,
Rimsulfuron,Rimsulfuron,,CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC
Rotenone,Rotenone,83-79-4,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC
S-abscisic acid,S-abscisic acid,21293-29-8,CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C
Saccharomyces cerevisiae strain LAS02,Saccharomyces cerevisiae strain LAS02,No CAS allocated,
Saflufenacil,"Saflufenacil (sum of saflufenacil, M800H11 and M800H35, expressed as saflufenacil) (R)",372137-35-4,CC(C)N(C)S(=O)(=O)NC(=O)C1=CC(=C(C=C1Cl)F)N2C(=O)C=C(N(C2=O)C)C(F)(F)F
Salix spp. cortex,Salix spp. cortex,No CAS allocated,
Seaweed extracts,Seaweed extracts  (++),,
Sedaxane,Sedaxane (sum of isomers),874967-67-6,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3CC3C4CC4
Silthiofam,Silthiofam,175217-20-6,CC1=C(SC(=C1C(=O)NCC=C)[Si](C)(C)C)C
Simazine,Simazine,122-34-9,CCNC1=NC(=NC(=N1)Cl)NCC
Sintofen,Sintofen,,COCCOC1=CC=CC2=C1C(=O)C(=NN2C3=CC=C(C=C3)Cl)C(=O)O
"Sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate","Sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate (Sum of sodium 5-nitroguaiacolate, sodium o-nitrophenolate and sodium p-nitrophenolate, expressed as sodium 5-nitroguaiacolate)",,
Sodium aluminium silicate,Sodium aluminium silicate,12003-51-9,[O-][Si]([O-])([O-])[O-].[Na+].[Al+3]
Sodium chloride,Sodium chloride,7647-14-5,[Na+].[Cl-]
Sodium hydrogen carbonate,Sodium hydrogen carbonate,,C(=O)(O)[O-].[Na+]
Sodium hypochlorite,Sodium hypochlorite,7681-52-9,[O-]Cl.[Na+]
Spinetoram,Spinetoram (sum of spinetoram-J and spinetoram-L) (F)(A),See note,CC[C@H]1CCC[C@@H]([C@H](C(=O)C2=C[C@@H]3[C@H](C2CC(=O)O1)CC[C@H]4[C@H]3CC(C4)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OCC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C
Spinosad,"Spinosad (spinosad, sum of spinosyn A and spinosyn D) (F)",168316-95-8,CC[C@H]1CCC[C@@H]([C@H](C(=O)C2=C[C@H]3[C@@H]4C[C@@H](C[C@H]4C=C[C@H]3[C@@H]2CC(=O)O1)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C.CC[C@H]1CCC[C@@H]([C@H](C(=O)C2=C[C@H]3[C@@H]4C[C@@H](C[C@H]4C(=C[C@H]3[C@@H]2CC(=O)O1)C)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)OC)OC)OC)C)O[C@H]6CC[C@@H]([C@H](O6)C)N(C)C
Spirodiclofen,Spirodiclofen  (F),148477-71-8,CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)C3=C(C=C(C=C3)Cl)Cl
Spiromesifen,Spiromesifen,283594-90-1,CC1=CC(=C(C(=C1)C)C2=C(C3(CCCC3)OC2=O)OC(=O)CC(C)(C)C)C
"Spirotetramat and spirotetramat-enol (sum of), expressed as spirotetramat","Spirotetramat and spirotetramat-enol (sum of), expressed as spirotetramat (R)",,
Spiroxamine,Spiroxamine (sum of isomers) (R)(A),118134-30-8,CCCN(CC)CC1COC2(O1)CCC(CC2)C(C)(C)C
Spodoptera exigua multicapsid nucleopolyhedrovirus (SeMNPV) isolate BV-0004,Spodoptera exigua multicapsid nucleopolyhedrovirus (SeMNPV) isolate BV-0004,,
Spodoptera exigua nuclear polyhedrosis virus,Spodoptera exigua nuclear polyhedrosis virus,No CAS allocated,
Spodoptera littoralis nucleopolyhedrovirus,Spodoptera littoralis nucleopolyhedrovirus,,
Straight Chain Lepidopteran Pheromones,Straight Chain Lepidopteran Pheromones (SCLP),,
Streptomyces K61,Streptomyces K61 (formerly S.griseoviridis),,
Streptomycin,Streptomycin,57-92-1,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O
Sucrose,Sucrose,57-50-1,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O
Sulcotrione,Sulcotrione  (R),99105-77-8,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl
