xml_name,name,cas,matched
"Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim","Cycloxydim including degradation and reaction products which can be determined as 3-(3-thianyl)glutaric acid S-dioxide (BH 517-TGSO2) and/or 3-hydroxy-3-(3-thianyl)glutaric acid S-dioxide (BH 517-5-OH-TGSO2) or derivatives thereof, calculated in total as cycloxydim",,False
Cydia pomonella Granulovirus (CpGV),Cydia pomonella Granulovirus (CpGV),No CAS allocated,True
"Cyflufenamid (sum of cyflufenamid (Z-isomer) and its E-isomer, expressed as cyflufenamid) (R)(A)","Cyflufenamid (sum of cyflufenamid (Z-isomer) and its E-isomer, expressed as cyflufenamid)",,False
Cyflumetofen (sum of isomers),Cyflumetofen,400882-07-7,True
Cyfluthrin (cyfluthrin including other mixtures of constituent isomers (sum of isomers)) (F),Cyfluthrin (cyfluthrin including other mixtures of constituent isomers (sum of isomers)),,False
Cyhalofop-butyl,Cyhalofop-butyl,122008-85-9,True
Cymoxanil,Cymoxanil,57966-95-7,True
Cypermethrin (cypermethrin including other mixtures of constituent isomers (sum of isomers)) (F),Cypermethrin (cypermethrin including other mixtures of constituent isomers (sum of isomers)),,False
Cyproconazole (F),Cyproconazole,94361-06-5,True
Cyprodinil  (R)(F),Cyprodinil,121552-61-2,True
Cyromazine,Cyromazine,66215-27-8,True
"DDT (sum of p,p´-DDT, o,p´-DDT, p-p´-DDE and p,p´-TDE (DDD) expressed as DDT) (F)","DDT (sum of p,p´-DDT, o,p´-DDT, p-p´-DDE and p,p´-TDE (DDD) expressed as DDT)",,False
DNOC,DNOC,534-52-1,True
Dalapon,Dalapon,75-99-0,True
"Daminozide (sum of daminozide and 1,1-dimethyl-hydrazine (UDHM), expressed as daminozide)","Daminozide (sum of daminozide and 1,1-dimethyl-hydrazine (UDHM), expressed as daminozide)",,False
Deltamethrin (cis-deltamethrin) (F),Deltamethrin,52918-63-5,True
"Denatonium benzoate (sum of denatonium and its salts, expressed as denatonium benzoate)",Denatonium benzoate,,False
Desmedipham,Desmedipham,13684-56-5,True
Di-allate (sum of isomers) (F),Di-allate,2303-16-4,True
Diammonium phosphate,Diammonium phosphate,7783-28-0,True
Diazinon  (F),Diazinon,333-41-5,True
Dicamba,Dicamba,1918-00-9,True
Dichlobenil,Dichlobenil,1194-65-6,True
"Dichlorprop (Sum of dichlorprop (including dichlorprop-P), its salts, esters and conjugates, expressed as dichlorprop) (R)","Dichlorprop (Sum of dichlorprop (including dichlorprop-P), its salts, esters and conjugates, expressed as dichlorprop)",,False
Dichlorvos,Dichlorvos,62-73-7,True
Dicloran,Dicloran,99-30-9,True
"Dicofol (sum of p, p´ and o,p´ isomers) (F)",Dicofol,115-32-2,True
"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",Didecyldimethylammonium chloride,,False
Diethofencarb,Diethofencarb,87130-20-9,True
Difenacoum,Difenacoum,56073-07-5,True
Difenoconazole,Difenoconazole,119446-68-3,True
Diflubenzuron  (R)(F),Diflubenzuron,35367-38-5,True
Diflufenican  (F),Diflufenican,83164-33-4,True
Difluoroacetic acid (DFA),Difluoroacetic acid,,False
Dimethachlor,Dimethachlor,50563-36-5,True
Dimethenamid including other mixtures of constituent isomers including dimethenamid-P (sum of isomers),Dimethenamid including other mixtures of constituent isomers including dimethenamid-P,,False
Dimethipin,Dimethipin,55290-64-7,True
Dimethoate,Dimethoate,60-51-5,True
Dimethomorph (sum of isomers),Dimethomorph,110488-70-5,True
Dimoxystrobin  (R)(A),Dimoxystrobin,149961-52-4,True
Diniconazole (sum of isomers),Diniconazole,,False
"Dinocap (sum of dinocap isomers and their corresponding phenols expressed as dinocap) (Where only meptyldinocap or its corresponding phenol are detected but none of the other components constituting dinocap (including their corresponding phenols), the MRLs and residue definition of meptyldinocap are to be applied.) (F)","Dinocap (sum of dinocap isomers and their corresponding phenols expressed as dinocap) (Where only meptyldinocap or its corresponding phenol are detected but none of the other components constituting dinocap (including their corresponding phenols), the MRLs and residue definition of meptyldinocap are to be applied.)",,False
"Dinoseb (sum of dinoseb, its salts, dinoseb-acetate and binapacryl, expressed as dinoseb)",Dinoseb,,False
Dinotefuran,Dinotefuran,165252-70-0,True
"Dinoterb (sum of dinoterb, its salts and esters, expressed as dinoterb)",Dinoterb,1420-07-1,True
Dioxathion (sum of isomers) (F),Dioxathion,78-34-2,True
Diphenylamine,Diphenylamine,122-39-4,True
Diquat,Diquat,85-00-7,True
"Disulfoton (sum of disulfoton, disulfoton sulfoxide and disulfoton sulfone expressed as disulfoton) (F)",Disulfoton,298-04-4,True
Dithianon,Dithianon,3347-22-6,True
"Dithiocarbamates (dithiocarbamates expressed as CS2, including maneb, mancozeb, metiram, propineb, thiram and ziram)",Dithiocarbamates,,False
Diuron,Diuron,330-54-1,True
Dodemorph,Dodemorph,1593-77-7,True
Dodine,Dodine,2439-10-3,True
EPTC (ethyl dipropylthiocarbamate),EPTC,,False
Elemental iron,Elemental Iron,7439-89-6,True
"Emamectin B1a and its salts, expressed as emamectin B1a (free base) (R)(F)","Emamectin B1a and its salts, expressed as emamectin B1a",,False
Endosulfan (sum of alpha- and beta-isomers and endosulfan-sulphate expressed as endosulfan) (F),Endosulfan,115-29-7,True
Endrin  (F),Endrin,72-20-8,True
Epoxiconazole  (F),Epoxiconazole,133855-98-8,True
Equisetum arvense L.,Equisetum arvense L.,No CAS allocated,True
Ethalfluralin,Ethalfluralin,55283-68-6,True
Ethametsulfuron-methyl,Ethametsulfuron-methyl,97780-06-8,True
Ethephon,Ethephon,16672-87-0,True
Ethion,Ethion,,False
Ethirimol (R)(F)(A),Ethirimol,23947-60-6,True
"Ethofumesate (Sum of ethofumesate, 2-keto–ethofumesate, open-ring-2-keto-ethofumesate and its conjugate, expressed as ethofumesate)",Ethofumesate,26225-79-6,True
Ethoprophos,Ethoprophos,13194-48-4,True
Ethoxyquin  (F),Ethoxyquin,91-53-2,True
Ethoxysulfuron,Ethoxysulfuron,126801-58-9,True
Ethylene  (++),Ethylene,74-85-1,True
Ethylene oxide (sum of ethylene oxide and 2-chloro-ethanol expressed as ethylene oxide) (F),Ethylene oxide,75-21-8,True
Etofenprox  (F),Etofenprox,80844-07-1,True
Etoxazole,Etoxazole,153233-91-1,True
Etridiazole,Etridiazole,2593-15-9,True
Extract from Tea tree  (++),Extract from tea tree,No CAS allocated,True
FEN 560  (also called fenugreek or fenugreek seed powder),FEN 560,,False
Famoxadone  (F),Famoxadone,131807-57-3,True
Fat distillation residues,Fat distillation residues,No CAS allocated,True
Fatty acids / Lauric acid  (++)(+),Fatty acids / Lauric acid,,False
Fatty acids C7-C20  (++)(+),Fatty acids C7-C20,,False
Fatty acids:  Heptanoic acid  (++)(+),Fatty acids:  Heptanoic acid,,False
Fatty acids:  Octanoic acid  (++)(+),Fatty acids:  Octanoic acid,,False
Fatty acids:  fatty acid methyl ester  (++)(+),Fatty acids:  fatty acid methyl ester,,False
Fatty acids: Decanoic acid  (++)(+),Fatty acids: Decanoic acid,,False
Fatty acids: Oleic acid incl ethyloleate  (++)(+),Fatty acids: Oleic acid incl ethyloleate,,False
Fatty acids: Pelargonic acid  (++)(+),Fatty acids: Pelargonic acid,,False
Fatty alcohols/aliphatic alcohols  (+),Fatty alcohols/aliphatic alcohols,,False
Fenamidone,Fenamidone,161326-34-7,True
Fenamiphos (sum of fenamiphos and its sulphoxide and sulphone expressed as fenamiphos),Fenamiphos,,False
Fenarimol,Fenarimol,60168-88-9,True
